ensembl_gene_id,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSMUSG00000110961,1.314057173,1.876722464,4.779838075,0.000191642,0.019404193,0.526773149
ENSMUSG00000024164,3.31900252,6.684924551,6.018425021,1.61E-05,0.004521766,2.795559852
ENSMUSG00000065952,-1.159745632,1.2813553,-4.149696431,0.000718883,0.045957517,-0.754535591
ENSMUSG00000015451,-3.25424387,2.923252678,-6.417119778,7.58E-06,0.00291252,3.756510528
ENSMUSG00000035031,-1.189977946,3.718362643,-3.664510233,0.002021279,0.086358287,-1.972642852
ENSMUSG00000017978,1.316781538,3.755950992,7.230566005,1.74E-06,0.001233595,5.175120121
ENSMUSG00000027559,-1.1755681,3.265193527,-2.727898989,0.014655852,0.265904983,-3.830124211
ENSMUSG00000051483,2.015722693,4.560234896,5.245912741,7.39E-05,0.010764564,1.292792859
ENSMUSG00000022947,2.503570264,3.107041387,4.761340205,0.000199127,0.019995886,0.375571242
ENSMUSG00000024039,-1.065238375,7.889647926,-4.180717248,0.000673124,0.043694848,-1.103451661
ENSMUSG00000073207,1.065877718,2.718203635,3.759898708,0.001648726,0.077233135,-1.70342489
ENSMUSG00000048701,-1.343779798,5.840376794,-5.279713364,6.90E-05,0.010302218,1.296858643
ENSMUSG00000029193,-2.478438857,7.105349484,-4.649084341,0.000251436,0.022623968,-0.028190828
ENSMUSG00000035385,1.012970606,1.002431882,3.188966922,0.005569653,0.160810259,-2.795887741
ENSMUSG00000074715,-1.388010538,4.611841502,-3.005461409,0.008208792,0.201061971,-3.412297421
ENSMUSG00000019122,1.00724959,0.791325783,3.310661841,0.004300554,0.137566861,-2.514845662
ENSMUSG00000025461,-1.300817368,-0.56425779,-4.830079725,0.00017273,0.018278156,0.345727789
ENSMUSG00000002944,-1.088938916,6.084823987,-3.950658804,0.001097562,0.06012972,-1.518912051
ENSMUSG00000026399,-1.626801702,1.580209291,-4.459297401,0.000373957,0.029642581,-0.14384334
ENSMUSG00000015396,1.098539152,2.173093426,3.003459336,0.008243462,0.20122788,-3.229832077
ENSMUSG00000006398,1.079672594,2.245016117,2.218986365,0.040920921,0.41006193,-4.723082699
ENSMUSG00000035498,-1.039092173,3.380687335,-4.818500664,0.000176912,0.018584362,0.487579785
ENSMUSG00000031673,-1.082534583,0.216025109,-3.509180369,0.002816461,0.104838369,-2.130367292
ENSMUSG00000034918,1.416151973,6.117819842,4.631052979,0.000261063,0.023248603,-0.056651473
ENSMUSG00000026437,1.038709047,5.264106699,4.556584106,0.000304986,0.025801782,-0.17177126
ENSMUSG00000023067,4.225380101,7.411156228,15.68252831,2.68E-11,5.81E-07,16.25166451
ENSMUSG00000031326,-1.877462875,-0.176600572,-6.652588969,4.90E-06,0.002234139,4.075945404
ENSMUSG00000064128,-1.297123808,1.704772999,-4.092909147,0.000810971,0.050069647,-0.934612387
ENSMUSG00000046111,-1.006626219,3.570258106,-4.104562046,0.000791147,0.049267428,-0.968865779
ENSMUSG00000078964,1.208475992,-0.165952491,3.412606582,0.003460974,0.119403305,-2.308236459
ENSMUSG00000061959,-1.555903897,6.366879638,-3.717887912,0.00180348,0.081485696,-1.9844388
ENSMUSG00000031725,-2.38268593,6.78392013,-5.957873831,1.81E-05,0.004780414,2.615347651
ENSMUSG00000057074,-1.01763037,0.322290183,-3.470459769,0.003059131,0.110843301,-2.175191181
ENSMUSG00000050097,-1.234754551,1.847330116,-3.439397424,0.003268753,0.115490153,-2.325753569
ENSMUSG00000031886,1.497451749,4.741881246,7.718982464,7.50E-07,0.000636206,5.981369695
ENSMUSG00000027313,2.332360275,1.86738072,3.02910182,0.007810026,0.194992455,-3.181391892
ENSMUSG00000020309,-1.033855,2.957874911,-3.691734005,0.001907091,0.084309417,-1.842563329
ENSMUSG00000018474,-1.606449898,8.835896569,-5.95881402,1.81E-05,0.004780414,2.551990443
ENSMUSG00000031283,-1.720943907,1.235871867,-6.242944557,1.05E-05,0.003395437,3.453418605
ENSMUSG00000027577,-1.675115664,8.001676451,-5.69654682,3.01E-05,0.006794465,2.101928415
ENSMUSG00000034612,-1.354303516,3.879981664,-5.203590441,8.05E-05,0.011175626,1.25527396
ENSMUSG00000037347,-1.165496918,4.311832376,-3.885408358,0.001261329,0.065221426,-1.558358646
ENSMUSG00000029516,-1.433915257,3.511603454,-2.868603806,0.010938309,0.240187724,-3.562096143
ENSMUSG00000062248,-1.005753598,0.434235002,-2.497342407,0.023500988,0.291809184,-4.131644215
ENSMUSG00000028255,1.30115375,3.19916099,3.599781763,0.002320997,0.093881056,-2.08269739
ENSMUSG00000047109,1.550535003,0.192334571,3.078294024,0.007040032,0.183131706,-3.092332013
ENSMUSG00000032473,-1.320165193,0.3618821,-4.259142574,0.00057016,0.039419359,-0.572701944
ENSMUSG00000066720,-1.647151026,0.357685732,-5.247415719,7.36E-05,0.010764564,1.484944412
ENSMUSG00000000318,-1.362729709,1.285014139,-4.811107771,0.000179636,0.018606518,0.624267866
ENSMUSG00000032452,-1.688948955,0.63731674,-5.954136202,1.82E-05,0.004785808,2.910272351
ENSMUSG00000022037,1.209050723,7.789781776,4.980697427,0.000126703,0.014860945,0.620413053
ENSMUSG00000032434,-1.287492066,3.728477103,-4.273865017,0.000552689,0.038457208,-0.72205446
ENSMUSG00000056162,-1.85016541,2.616477068,-6.429046036,7.41E-06,0.00291252,3.718105661
ENSMUSG00000070695,-3.898526096,1.568743345,-8.653298141,1.63E-07,0.000272,7.617143962
ENSMUSG00000024330,1.433714075,1.218481768,2.995995425,0.00837398,0.203039704,-3.174343119
ENSMUSG00000026141,-4.057184487,2.702240229,-6.684202575,4.63E-06,0.002177223,4.260434411
ENSMUSG00000026043,-1.426209268,2.840174705,-3.529762716,0.002695371,0.102870939,-2.177018679
ENSMUSG00000043719,-3.526567041,2.573022821,-6.817468898,3.63E-06,0.001913263,4.502848179
ENSMUSG00000025981,-1.035492522,4.101121847,-4.59965327,0.000278737,0.024429624,-0.035431184
ENSMUSG00000041697,1.195703437,10.21704472,4.841047136,0.000168863,0.017956696,0.173111063
ENSMUSG00000030785,-1.066032377,1.396987863,-2.641859024,0.017500144,0.265904983,-3.873756696
ENSMUSG00000051811,2.587714138,4.895449767,8.706791178,1.50E-07,0.000265891,7.62663362
ENSMUSG00000025488,1.994884595,1.694748604,3.068383927,0.007188922,0.18564232,-3.079131364
ENSMUSG00000003617,1.511608167,5.715772166,6.172982384,1.20E-05,0.003737135,3.087633531
ENSMUSG00000021999,1.069752256,0.833597473,3.004233204,0.008230044,0.20122788,-3.142456541
ENSMUSG00000025196,2.064666826,3.01174511,7.788264745,6.67E-07,0.000577406,6.187167908
ENSMUSG00000032291,1.907076123,1.002383775,4.287184,0.000537352,0.037890209,-0.540949825
ENSMUSG00000027913,1.273677792,-0.056560554,2.843336503,0.011530755,0.24821574,-3.654119123
ENSMUSG00000035041,1.168588882,0.091236389,3.196054599,0.005486538,0.159863706,-2.893619147
ENSMUSG00000006360,1.360522343,4.905641416,3.694898257,0.001894245,0.083999903,-1.959985937
